"23085030","CO","Alejandría","Alejandría","Antioquia","1","1712","-75.14","6.38","170.4","193.0","327.4","440.9","579.0","431.9","404.1","444.5","535.7","532.5","350.8","228.8","4639.1","350","97.2%","","","","","","","","","","","","","","","","","","","",""
"27010850","PM","Amalfi","Amalfi","Antioquia","1","1530","-75.08","6.91","73.9","91.1","206.1","300.5","295.9","224.3","236.8","238.2","263.2","321.6","258.2","113.0","2622.6","350","97.2%","","","","","","","","","","","","","","","","","","","",""
"27010890","PM","Cueva Santa","Amalfi","Antioquia","1","1550","-75.04","6.96","52.0","106.4","228.2","346.4","359.7","292.3","313.6","318.1","322.9","358.8","259.2","105.3","3063.0","333","92.5%","","","","","","","","","","","","","","","","","","","",""
"27010960","PM","Hacienda Monos","Amalfi","Antioquia","1","1100","-74.90","6.90","55.4","96.2","185.8","302.2","429.1","419.8","416.3","360.7","317.4","326.3","219.1","120.2","3248.5","316","87.8%","","","","","","","","","","","","","","","","","","","",""
"26195020","PM","Ita Andes","Andes","Antioquia","1","1180","-75.88","5.69","77.6","107.1","174.7","233.3","257.1","194.7","189.9","180.4","215.0","213.1","192.9","138.2","2174.1","315","87.5%","","","","","","","","","","","","","","","","","","","",""
"26190100","PM","Santa Bárbara","Andes","Antioquia","1","1250","-75.90","5.56","111.4","147.8","190.2","259.9","270.2","207.5","195.4","183.4","212.2","250.8","218.1","168.3","2415.3","344","95.6%","","","","","","","","","","","","","","","","","","","",""
"27020210","PM","Angostura","Angostura","Antioquia","1","1650","-75.33","6.88","49.0","87.8","141.9","248.7","424.8","381.5","336.4","336.6","310.3","286.3","229.1","92.6","2924.9","357","99.2%","","","","","","","","","","","","","","","","","","","",""
"27025030","CO","Anorí","Anorí","Antioquia","1","1601","-75.15","7.07","51.6","101.0","163.2","262.6","339.2","296.3","311.4","311.5","304.2","302.2","237.1","127.2","2807.4","303","84.2%","","","","","","","","","","","","","","","","","","","",""
"27020170","PM","Hacienda El Carmen","Anorí","Antioquia","1","950","-75.08","7.15","90.1","144.8","314.6","394.8","525.9","446.5","436.7","499.6","497.4","507.3","369.3","191.4","4418.6","333","92.5%","","","","","","","","","","","","","","","","","","","",""
"26210090","PM","Anza","Anzá","Antioquia","1","550","-75.86","6.30","45.3","58.1","93.6","160.6","207.9","174.3","147.2","155.3","157.6","194.5","161.7","82.7","1638.8","356","98.9%","","","","","","","","","","","","","","","","","","","",""
"12010070","PM","El Casco ","Apartadó","Antioquia","1","18","-76.65","7.88","93.8","56.9","116.9","224.1","341.8","252.3","257.1","243.5","279.6","264.3","257.4","221.8","2609.5","342","95.0%","","","","","","","","","","","","","","","","","","","",""
"12010060","PM","La Lorena ","Apartadó","Antioquia","1","10","-76.69","7.86","111.0","72.3","129.1","250.9","322.7","248.5","289.6","248.1","285.4","282.9","285.5","227.9","2754.0","300","83.3%","","","","","","","","","","","","","","","","","","","",""
"12015020","AM","Uniban","Apartadó","Antioquia","1","43","-76.65","7.83","100.8","62.8","111.9","268.0","354.5","265.9","257.2","247.9","321.7","274.5","302.1","242.7","2810.0","322","89.4%","","","","","","","","","","","","","","","","","","","",""
"12030020","PM","El Carmelo","Arboletes","Antioquia","2","50","-76.38","8.62","22.2","10.5","57.8","136.4","205.0","150.3","151.2","153.5","166.7","134.4","126.0","75.3","1389.2","334","92.8%","","","","","","","","","","","","","","","","","","","",""
